"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000194","BRIDA SERIE 600 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 17,58 4"" SCH 40","BRIDA","SERIE 600","un","114.3","6.02","","","WN RF","17.58","ASTM A 105 B16.5"
"A0000193","BRIDA SERIE 600 (88,90x7,62) WN RF ASTM A 105 B16.5 PESO 8,89 3"" SCH 80","BRIDA","SERIE 600","un","88.9","7.62","","","WN RF","8.89","ASTM A 105 B16.5"
"A0000192","BRIDA SERIE 600 (88,90x5,49) WN RF ASTM A 105 B16.5 PESO 8,54 3"" SCH 40","BRIDA","SERIE 600","un","88.9","5.49","","","WN RF","8.54","ASTM A 105 B16.5"
"A0000191","BRIDA SERIE 600 (60,30x5,54) WN RF ASTM A 105 B16.5 PESO 4,53 2""","BRIDA","SERIE 600","un","60.3","5.54","","","WN RF","4.53","ASTM A 105 B16.5"
"A0000190","BRIDA SERIE 600 (60,30x3,91) WN RF ASTM A 105 B16.5 PESO 4,36 2""","BRIDA","SERIE 600","un","60.3","3.91","","","WN RF","4.36","ASTM A 105 B16.5"
"A0000189","BRIDA SERIE 600 (48,30x7,14) SW RF ASTM A 105 B16.5 PESO 3,76 1 1/2 ""","BRIDA","SERIE 600","un","48.3","7.14","","","SW RF","3.76","ASTM A 105 B16.5"
"A0000188","BRIDA SERIE 600 (33,40x6,35) SW RF ASTM A 105 B16.5 PESO 1,98 1""","BRIDA","SERIE 600","un","33.4","6.35","","","SW RF","1.98","ASTM A 105 B16.5"
"A0000187","BRIDA SERIE 600 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 1,61 1""","BRIDA","SERIE 600","un","33.4","4.55","","","SW RF","1.61","ASTM A 105 B16.5"
"A0000186","BRIDA SERIE 600 (323,80) SO RF ASTM A 105 B16.5 PESO 84,20 12""","BRIDA","SERIE 600","un","323.8","","","","SO RF","84.2","ASTM A 105 B16.5"
"A0000185","BRIDA SERIE 600 (168,30) SO RF ASTM A 105 B16.5 PESO 28,70 6""","BRIDA","SERIE 600","un","168.3","","","","SO RF","28.7","ASTM A 105 B16.5"
"A0000184","BRIDA SERIE 600 (114,30) SO RF ASTM A 105 B16.5 PESO 14,50 4""","BRIDA","SERIE 600","un","114.3","","","","SO RF","14.5","ASTM A 105 B16.5"
"A0000183","BRIDA SERIE 600 (406,40) BL RF ASTM A 105 B16.5 PESO 214,00 16""","BRIDA","SERIE 600","un","406.4","","","","BL RF","214","ASTM A 105 B16.5"
"A0000182","BRIDA SERIE 600 (323,80) BL RF ASTM A 105 B16.5 PESO 124,00 12""","BRIDA","SERIE 600","un","323.8","","","","BL RF","124","ASTM A 105 B16.5"
"A0000181","BRIDA SERIE 600 (219,10) BL RF ASTM A 105 B16.5 PESO 58,90 8""","BRIDA","SERIE 600","un","219.1","","","","BL RF","58.9","ASTM A 105 B16.5"
"A0000180","BRIDA SERIE 600 (168,30) BL RF ASTM A 105 B16.5 PESO 36,10 6""","BRIDA","SERIE 600","un","168.3","","","","BL RF","36.1","ASTM A 105 B16.5"
"A0000179","BRIDA SERIE 600 (114,30) BL RF ASTM A 105 B16.5 PESO 17,30 4""","BRIDA","SERIE 600","un","114.3","","","","BL RF","17.3","ASTM A 105 B16.5"
"A0000178","BRIDA SERIE 600 (88,90) BL RF ASTM A 105 B16.5 PESO 9,80 3""","BRIDA","SERIE 600","un","88.9","","","","BL RF","9.8","ASTM A 105 B16.5"
"A0000177","BRIDA SERIE 600 (60,30) BL RF ASTM A 105 B16.5 PESO 4,15 2""","BRIDA","SERIE 600","un","60.3","","","","BL RF","4.15","ASTM A 105 B16.5"
"A0000176","BRIDA SERIE 600 (48,30) BL RF ASTM A 105 B16.5 PESO 3,25 1 1/2""","BRIDA","SERIE 600","un","48.3","","","","BL RF","3.25","ASTM A 105 B16.5"
"A0000175","BRIDA SERIE 600 (33,40) BL RF ASTM A 105 B16.5 PESO 1,60 1""","BRIDA","SERIE 600","un","33.4","","","","BL RF","1.6","ASTM A 105 B16.5"
"A0000174","BRIDA SERIE 300 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 91,64 14"" SCH 40","BRIDA","SERIE 300","un","355.6","11.1","","","WN RF","91.64","ASTM A 105 B16.5"
"A0000173","BRIDA SERIE 300 (323,80x9,52) WN RF ASTM A 105 B16.5 PESO 61,80 12"" SCH STD","BRIDA","SERIE 300","un","323.8","9.52","","","WN RF","61.8","ASTM A 105 B16.5"
"A0000172","BRIDA SERIE 300 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 71,56 12"" SCH 80","BRIDA","SERIE 300","un","323.8","17.48","","","WN RF","71.56","ASTM A 105 B16.5"
"A0000171","BRIDA SERIE 300 (273,00x15,09) WN RF ASTM A 105 B16.5 PESO 48,81 10"" SCH 80","BRIDA","SERIE 300","un","273","15.09","","","WN RF","48.81","ASTM A 105 B16.5"
"A0000170","BRIDA SERIE 300 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 44,58 10"" SCH 40","BRIDA","SERIE 300","un","273","9.27","","","WN RF","44.58","ASTM A 105 B16.5"
"A0000169","BRIDA SERIE 300 (219,10x12,70) WN RF ASTM A 105 B16.5 PESO 33,34 8"" SCH 80","BRIDA","SERIE 300","un","219.1","12.7","","","WN RF","33.34","ASTM A 105 B16.5"
"A0000168","BRIDA SERIE 300 (219,10x10,31) WN RF ASTM A 105 B16.5 PESO 32,04 8"" SCH 60","BRIDA","SERIE 300","un","219.1","10.31","","","WN RF","32.04","ASTM A 105 B16.5"
"A0000167","BRIDA SERIE 300 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 30,88 8"" SCH 40","BRIDA","SERIE 300","un","219.1","8.18","","","WN RF","30.88","ASTM A 105 B16.5"
"A0000166","BRIDA SERIE 300 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 29,84 8"" SCH 20","BRIDA","SERIE 300","un","219.1","6.35","","","WN RF","29.84","ASTM A 105 B16.5"
"A0000165","BRIDA SERIE 300 (168,30x14,27) WN RF ASTM A 105 B16.5 PESO 22,90 6"" SCH 120","BRIDA","SERIE 300","un","168.3","14.27","","","WN RF","22.9","ASTM A 105 B16.5"
"A0000164","BRIDA SERIE 300 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 21,74 6"" SCH 80","BRIDA","SERIE 300","un","168.3","10.97","","","WN RF","21.74","ASTM A 105 B16.5"
"A0000163","BRIDA SERIE 300 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 20,33 6"" SCH 40","BRIDA","SERIE 300","un","168.3","7.11","","","WN RF","20.33","ASTM A 105 B16.5"
"A0000162","BRIDA SERIE 300 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 12,32 4"" SCH 80","BRIDA","SERIE 300","un","114.3","8.56","","","WN RF","12.32","ASTM A 105 B16.5"
"A0000161","BRIDA SERIE 300 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 11,78 4"" SCH 40","BRIDA","SERIE 300","un","114.3","6.02","","","WN RF","11.78","ASTM A 105 B16.5"
"A0000160","BRIDA SERIE 300 (88,90x7,62) WN RF ASTM A 105 B16.5 PESO 7,51 3"" SCH 80","BRIDA","SERIE 300","un","88.9","7.62","","","WN RF","7.51","ASTM A 105 B16.5"
"A0000159","BRIDA SERIE 300 (88,90x5,49) WN RF ASTM A 105 B16.5 PESO 7,20 3"" SCH 40","BRIDA","SERIE 300","un","88.9","5.49","","","WN RF","7.2","ASTM A 105 B16.5"
"A0000158","BRIDA SERIE 300 (60,30x5,54) WN RF ASTM A 105 B16.5 PESO 3,70 2""","BRIDA","SERIE 300","un","60.3","5.54","","","WN RF","3.7","ASTM A 105 B16.5"
"A0000157","BRIDA SERIE 300 (60,30x3,91) WN RF ASTM A 105 B16.5 PESO 3,55 2""","BRIDA","SERIE 300","un","60.3","3.91","","","WN RF","3.55","ASTM A 105 B16.5"
"A0000156","BRIDA SERIE 300 (48,30x5,08) WN RF ASTM A 105 B16.5 PESO 3,09 1 1/2""","BRIDA","SERIE 300","un","48.3","5.08","","","WN RF","3.09","ASTM A 105 B16.5"
"A0000155","BRIDA SERIE 300 (48,30x3,68) WN RF ASTM A 105 B16.5 PESO 2,99 1 1/2""","BRIDA","SERIE 300","un","48.3","3.68","","","WN RF","2.99","ASTM A 105 B16.5"
"A0000154","BRIDA SERIE 300 (323,80) SO RF ASTM A 105 B16.5 PESO 49,80 12""","BRIDA","SERIE 300","un","323.8","","","","SO RF","49.8","ASTM A 105 B16.5"
"A0000153","BRIDA SERIE 300 (219,10) SO RF ASTM A 105 B16.5 PESO 24,20 8""","BRIDA","SERIE 300","un","219.1","","","","SO RF","24.2","ASTM A 105 B16.5"
"A0000152","BRIDA SERIE 300 (168,30) SO RF ASTM A 105 B16.5 PESO 15,60 6""","BRIDA","SERIE 300","un","168.3","","","","SO RF","15.6","ASTM A 105 B16.5"
"A0000151","BRIDA SERIE 300 (88,90) SO RF ASTM A 105 B16.5 PESO 5,85 3""","BRIDA","SERIE 300","un","88.9","","","","SO RF","5.85","ASTM A 105 B16.5"
"A0000150","BRIDA SERIE 300 (60,30) SO RF ASTM A 105 B16.5 PESO 2,87 2""","BRIDA","SERIE 300","un","60.3","","","","SO RF","2.87","ASTM A 105 B16.5"
"A0000149","BRIDA SERIE 300 (26,70) SO RF ASTM A 105 B16.5 PESO 1,12 3/4""","BRIDA","SERIE 300","un","26.7","","","","SO RF","1.12","ASTM A 105 B16.5"
"A0000148","BRIDA SERIE 300 (406,40) BL RF ASTM A 105 B16.5 PESO 137,00 16""","BRIDA","SERIE 300","un","406.4","","","","BL RF","137","ASTM A 105 B16.5"
"A0000147","BRIDA SERIE 300 (323,80) BL RF ASTM A 105 B16.5 PESO 79,10 12""","BRIDA","SERIE 300","un","323.8","","","","BL RF","79.1","ASTM A 105 B16.5"
"A0000146","BRIDA SERIE 300 (273,00) BL RF ASTM A 105 B16.5 PESO 53,50 10""","BRIDA","SERIE 300","un","273","","","","BL RF","53.5","ASTM A 105 B16.5"
"A0000145","BRIDA SERIE 300 (219,10) BL RF ASTM A 105 B16.5 PESO 34,30 8""","BRIDA","SERIE 300","un","219.1","","","","BL RF","34.3","ASTM A 105 B16.5"
"A0000144","BRIDA SERIE 300 (168,30) BL RF ASTM A 105 B16.5 PESO 21,41 6""","BRIDA","SERIE 300","un","168.3","","","","BL RF","21.41","ASTM A 105 B16.5"
"A0000143","BRIDA SERIE 300 (114,30) BL RF ASTM A 105 B16.5 PESO 11,69 4""","BRIDA","SERIE 300","un","114.3","","","","BL RF","11.69","ASTM A 105 B16.5"
"A0000142","BRIDA SERIE 300 (88,90) BL RF ASTM A 105 B16.5 PESO 6,68 3""","BRIDA","SERIE 300","un","88.9","","","","BL RF","6.68","ASTM A 105 B16.5"
"A0000141","BRIDA SERIE 300 (60,30) BL RF ASTM A 105 B16.5 PESO 3,18 2""","BRIDA","SERIE 300","un","60.3","","","","BL RF","3.18","ASTM A 105 B16.5"
"A0000140","BRIDA SERIE 300 (33,40) BL RF ASTM A 105 B16.5 PESO 1,39 1""","BRIDA","SERIE 300","un","33.4","","","","BL RF","1.39","ASTM A 105 B16.5"
"A0000139","BRIDA SERIE 300 (26,70) BL RF ASTM A 105 B16.5 PESO 1,11 3/4""","BRIDA","SERIE 300","un","26.7","","","","BL RF","1.11","ASTM A 105 B16.5"
"A0000138","BRIDA SERIE 150 (508,00x9,52) WN RF ASTM A 105 B16.5 PESO 88,55 20"" SCH STD","BRIDA","SERIE 150","un","508","9.52","","","WN RF","88.55","ASTM A 105 B16.5"
"A0000137","BRIDA SERIE 150 (457,20x9,52) WN RF ASTM A 105 B16.5 PESO 68,30 18"" SCH STD","BRIDA","SERIE 150","un","457.2","9.52","","","WN RF","68.3","ASTM A 105 B16.5"
"A0000136","BRIDA SERIE 150 (406,40x12,70) WN RF ASTM A 105 B16.5 PESO 66,27 16"" SCH 40","BRIDA","SERIE 150","un","406.4","12.7","","","WN RF","66.27","ASTM A 105 B16.5"
"A0000135","BRIDA SERIE 150 (406,40x7,92) WN RF ASTM A 105 B16.5 PESO 60,44 16"" SCH 20","BRIDA","SERIE 150","un","406.4","7.92","","","WN RF","60.44","ASTM A 105 B16.5"
"A0000134","BRIDA SERIE 150 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 52,79 14"" SCH 40","BRIDA","SERIE 150","un","355.6","11.1","","","WN RF","52.79","ASTM A 105 B16.5"
"A0000133","BRIDA SERIE 150 (355,60x7,92) WN RF ASTM A 105 B16.5 PESO 49,03 14"" SCH 20","BRIDA","SERIE 150","un","355.6","7.92","","","WN RF","49.03","ASTM A 105 B16.5"
"A0000132","BRIDA SERIE 150 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 45,49 12"" SCH 80","BRIDA","SERIE 150","un","323.8","17.48","","","WN RF","45.49","ASTM A 105 B16.5"
"A0000131","BRIDA SERIE 150 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 36,12 12"" SCH 20","BRIDA","SERIE 150","un","323.8","6.35","","","WN RF","36.12","ASTM A 105 B16.5"
"A0000130","BRIDA SERIE 150 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 24,89 10"" SCH 40","BRIDA","SERIE 150","un","273","9.27","","","WN RF","24.89","ASTM A 105 B16.5"
"A0000129","BRIDA SERIE 150 (273,00x6,35) WN RF ASTM A 105 B16.5 PESO 24,00 10"" SCH 20","BRIDA","SERIE 150","un","273","6.35","","","WN RF","24","ASTM A 105 B16.5"
"A0000128","BRIDA SERIE 150 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 18,59 8"" SCH 40","BRIDA","SERIE 150","un","219.1","8.18","","","WN RF","18.59","ASTM A 105 B16.5"
"A0000127","BRIDA SERIE 150 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 17,41 8"" SCH 20","BRIDA","SERIE 150","un","219.1","6.35","","","WN RF","17.41","ASTM A 105 B16.5"
"A0000126","BRIDA SERIE 150 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 12,45 6"" SCH 80","BRIDA","SERIE 150","un","168.3","10.97","","","WN RF","12.45","ASTM A 105 B16.5"
"A0000125","BRIDA SERIE 150 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 11,17 6"" SCH 40","BRIDA","SERIE 150","un","168.3","7.11","","","WN RF","11.17","ASTM A 105 B16.5"
"A0000124","BRIDA SERIE 150 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 7,73 4"" SCH 80","BRIDA","SERIE 150","un","114.3","8.56","","","WN RF","7.73","ASTM A 105 B16.5"
"A0000123","BRIDA SERIE 150 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 7,25 4"" SCH 40","BRIDA","SERIE 150","un","114.3","6.02","","","WN RF","7.25","ASTM A 105 B16.5"
"A0000122","BRIDA SERIE 150 (88,90x7,62) WN RF ASTM A 105 B16.5 PESO 5,36 3"" SCH 80","BRIDA","SERIE 150","un","88.9","7.62","","","WN RF","5.36","ASTM A 105 B16.5"
"A0000121","BRIDA SERIE 150 (88,90x5,49) WN RF ASTM A 105 B16.5 PESO 5,08 3"" SCH 40","BRIDA","SERIE 150","un","88.9","5.49","","","WN RF","5.08","ASTM A 105 B16.5"
"A0000120","BRIDA SERIE 150 (60,30x5,54) WN RF ASTM A 105 B16.5 PESO 2,73 2"" SCH 80","BRIDA","SERIE 150","un","60.3","5.54","","","WN RF","2.73","ASTM A 105 B16.5"
"A0000119","BRIDA SERIE 150 (60,30x3,91) WN RF ASTM A 105 B16.5 PESO 2,60 2"" SCH 40","BRIDA","SERIE 150","un","60.3","3.91","","","WN RF","2.6","ASTM A 105 B16.5"
"A0000118","BRIDA SERIE 150 (48,30x5,08) WN RF ASTM A 105 B16.5 PESO 1,82 1 1/2"" SCH 80","BRIDA","SERIE 150","un","48.3","5.08","","","WN RF","1.82","ASTM A 105 B16.5"
"A0000117","BRIDA SERIE 150 (48,30x3,68) WN RF ASTM A 105 B16.5 PESO 1,74 1 1/2"" SCH 40","BRIDA","SERIE 150","un","48.3","3.68","","","WN RF","1.74","ASTM A 105 B16.5"
"A0000116","BRIDA SERIE 150 (33,40x4,55) WN RF ASTM A 105 B16.5 PESO 1,13 1"" SCH 80","BRIDA","SERIE 150","un","33.4","4.55","","","WN RF","1.13","ASTM A 105 B16.5"
"A0000115","BRIDA SERIE 150 (33,40x3,38) WN RF ASTM A 105 B16.5 PESO 1,09 1"" SCH 40","BRIDA","SERIE 150","un","33.4","3.38","","","WN RF","1.09","ASTM A 105 B16.5"
"A0000114","BRIDA SERIE 150 (60,30x5,54) SW RF ASTM A 105 B16.5 PESO 2,14 2"" SCH 80","BRIDA","SERIE 150","un","60.3","5.54","","","SW RF","2.14","ASTM A 105 B16.5"
"A0000113","BRIDA SERIE 150 (60,30x3,91) SW RF ASTM A 105 B16.5 PESO 2,10 2"" SCH 40","BRIDA","SERIE 150","un","60.3","3.91","","","SW RF","2.1","ASTM A 105 B16.5"
"A0000112","BRIDA SERIE 150 (48,30x5,08) SW RF ASTM A 105 B16.5 PESO 1,39 1 1/2"" SCH 80","BRIDA","SERIE 150","un","48.3","5.08","","","SW RF","1.39","ASTM A 105 B16.5"
"A0000111","BRIDA SERIE 150 (48,30x3,68) SW RF ASTM A 105 B16.5 PESO 1,36 1 1/2"" SCH 40","BRIDA","SERIE 150","un","48.3","3.68","","","SW RF","1.36","ASTM A 105 B16.5"
"A0000110","BRIDA SERIE 150 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 0,82 1"" SCH 80","BRIDA","SERIE 150","un","33.4","4.55","","","SW RF","0.82","ASTM A 105 B16.5"
"A0000109","BRIDA SERIE 150 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 0,81 1"" SCH 40","BRIDA","SERIE 150","un","33.4","3.38","","","SW RF","0.81","ASTM A 105 B16.5"
"A0000108","BRIDA SERIE 150 (508,00) SO RF ASTM A 105 B16.5 PESO 61,90 20""","BRIDA","SERIE 150","un","508","","","","SO RF","61.9","ASTM A 105 B16.5"
"A0000107","BRIDA SERIE 150 (457,20) SO RF ASTM A 105 B16.5 PESO 48,90 18""","BRIDA","SERIE 150","un","457.2","","","","SO RF","48.9","ASTM A 105 B16.5"
"A0000106","BRIDA SERIE 150 (406,40) SO RF ASTM A 105 B16.5 PESO 44,80 16""","BRIDA","SERIE 150","un","406.4","","","","SO RF","44.8","ASTM A 105 B16.5"
"A0000105","BRIDA SERIE 150 (355,60) SO RF ASTM A 105 B16.5 PESO 34,60 14""","BRIDA","SERIE 150","un","355.6","","","","SO RF","34.6","ASTM A 105 B16.5"
"A0000104","BRIDA SERIE 150 (323,80) SO RF ASTM A 105 B16.5 PESO 26,20 12""","BRIDA","SERIE 150","un","323.8","","","","SO RF","26.2","ASTM A 105 B16.5"
"A0000103","BRIDA SERIE 150 (273,00) SO RF ASTM A 105 B16.5 PESO 16,50 10""","BRIDA","SERIE 150","un","273","","","","SO RF","16.5","ASTM A 105 B16.5"
"A0000102","BRIDA SERIE 150 (219,10) SO RF ASTM A 105 B16.5 PESO 12,10 8""","BRIDA","SERIE 150","un","219.1","","","","SO RF","12.1","ASTM A 105 B16.5"
"A0000101","BRIDA SERIE 150 (168,30) SO RF ASTM A 105 B16.5 PESO 7,45 6""","BRIDA","SERIE 150","un","168.3","","","","SO RF","7.45","ASTM A 105 B16.5"
"A0000100","BRIDA SERIE 150 (114,30) SO RF ASTM A 105 B16.5 PESO 5,30 4""","BRIDA","SERIE 150","un","114.3","","","","SO RF","5.3","ASTM A 105 B16.5"
"A0000099","BRIDA SERIE 150 (88,90) SO RF ASTM A 105 B16.5 PESO 3,85 3""","BRIDA","SERIE 150","un","88.9","","","","SO RF","3.85","ASTM A 105 B16.5"
"A0000098","BRIDA SERIE 150 (73,00) SO RF ASTM A 105 B16.5 PESO 3,28 2 1/2""","BRIDA","SERIE 150","un","73","","","","SO RF","3.28","ASTM A 105 B16.5"
"A0000097","BRIDA SERIE 150 (60,30) SO RF ASTM A 105 B16.5 PESO 2,06 2""","BRIDA","SERIE 150","un","60.3","","","","SO RF","2.06","ASTM A 105 B16.5"
"A0000096","BRIDA SERIE 150 (48,30) SO RF ASTM A 105 B16.5 PESO 1,32 1 1/2""","BRIDA","SERIE 150","un","48.3","","","","SO RF","1.32","ASTM A 105 B16.5"
"A0000095","BRIDA SERIE 150 (42,20) SO RF ASTM A 105 B16.5 PESO 1,03 1 1/4""","BRIDA","SERIE 150","un","42.2","","","","SO RF","1.03","ASTM A 105 B16.5"
"A0000094","BRIDA SERIE 150 (33,40) SO RF ASTM A 105 B16.5 PESO 0,78 1""","BRIDA","SERIE 150","un","33.4","","","","SO RF","0.78","ASTM A 105 B16.5"
"A0000093","BRIDA SERIE 150 (26,70) SO RF ASTM A 105 B16.5 PESO 0,56 3/4""","BRIDA","SERIE 150","un","26.7","","","","SO RF","0.56","ASTM A 105 B16.5"
"A0000092","BRIDA SERIE 150 (508,00) BL RF ASTM A 105 B16.5 PESO 122,00 20""","BRIDA","SERIE 150","un","508","","","","BL RF","122","ASTM A 105 B16.5"
"A0000091","BRIDA SERIE 150 (457,20) BL RF ASTM A 105 B16.5 PESO 93,70 18""","BRIDA","SERIE 150","un","457.2","","","","BL RF","93.7","ASTM A 105 B16.5"
"A0000090","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 76,00 16""","BRIDA","SERIE 150","un","406.4","","","","BL RF","76","ASTM A 105 B16.5"
"A0000089","BRIDA SERIE 150 (355,60) BL RF ASTM A 105 B16.5 PESO 58,10 14""","BRIDA","SERIE 150","un","355.6","","","","BL RF","58.1","ASTM A 105 B16.5"
"A0000088","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 43,20 12""","BRIDA","SERIE 150","un","323.8","","","","BL RF","43.2","ASTM A 105 B16.5"
"A0000087","BRIDA SERIE 150 (273,00) BL RF ASTM A 105 B16.5 PESO 28,80 10""","BRIDA","SERIE 150","un","273","","","","BL RF","28.8","ASTM A 105 B16.5"
"A0000086","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 19,60 8""","BRIDA","SERIE 150","un","219.1","","","","BL RF","19.6","ASTM A 105 B16.5"
"A0000085","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 11,30 6""","BRIDA","SERIE 150","un","168.3","","","","BL RF","11.3","ASTM A 105 B16.5"
"A0000084","BRIDA SERIE 150 (114,30) BL RF ASTM A 105 B16.5 PESO 7,00 4""","BRIDA","SERIE 150","un","114.3","","","","BL RF","7","ASTM A 105 B16.5"
"A0000083","BRIDA SERIE 150 (88,90) BL RF ASTM A 105 B16.5 PESO 4,93 3""","BRIDA","SERIE 150","un","88.9","","","","BL RF","4.93","ASTM A 105 B16.5"
"A0000082","BRIDA SERIE 150 (60,30) BL RF ASTM A 105 B16.5 PESO 2,42 2""","BRIDA","SERIE 150","un","60.3","","","","BL RF","2.42","ASTM A 105 B16.5"
"A0000081","BRIDA SERIE 150 (48,30) BL RF ASTM A 105 B16.5 PESO 1,53 1 1/2""","BRIDA","SERIE 150","un","48.3","","","","BL RF","1.53","ASTM A 105 B16.5"
"A0000080","BRIDA SERIE 150 (42,20) BL RF ASTM A 105 B16.5 PESO 1,17 1 1/4""","BRIDA","SERIE 150","un","42.2","","","","BL RF","1.17","ASTM A 105 B16.5"
"A0000079","BRIDA SERIE 150 (33,40) BL RF ASTM A 105 B16.5 PESO 0,86 1""","BRIDA","SERIE 150","un","33.4","","","","BL RF","0.86","ASTM A 105 B16.5"
"A0000078","BRIDA SERIE 150 (26,70) BL RF ASTM A 105 B16.5 PESO 0,61 3/4""","BRIDA","SERIE 150","un","26.7","","","","BL RF","0.61","ASTM A 105 B16.5"
"A0000077","RED EXC (273,00x168,30x9,27x7,11) ASTM A 234 GB WPB PESO 9,38 10x6"" SCH 40","RED EXC","","un","273","168.3","9.27","7.11","","9.38","ASTM A 234 GB WPB"
"A0000076","RED EXC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","RED EXC","","un","273","219.1","9.27","8.18","","9.6","ASTM A 234 GB WPB"
"A0000075","RED EXC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,70 8x6"" SCH 40","RED EXC","","un","219.1","168.3","8.18","7.11","","5.7","ASTM A 234 GB WPB"
"A0000074","RED EXC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 5,50 8x4"" SCH 40","RED EXC","","un","219.1","114.3","8.18","6.02","","5.5","ASTM A 234 GB WPB"
"A0000073","RED EXC (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 3,35 6x4"" SCH 40","RED EXC","","un","168.3","114.3","7.11","6.02","","3.35","ASTM A 234 GB WPB"
"A0000072","RED EXC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,30 6x3"" SCH 40","RED EXC","","un","168.3","88.9","7.11","5.49","","3.3","ASTM A 234 GB WPB"
"A0000071","RED EXC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,30 4x2"" SCH 40","RED EXC","","un","114.3","60.3","6.02","3.91","","1.3","ASTM A 234 GB WPB"
"A0000070","RED EXC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,45 4x3"" SCH 40","RED EXC","","un","114.3","88.9","6.02","5.49","","1.45","ASTM A 234 GB WPB"
"A0000069","RED EXC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 40","RED EXC","","un","88.9","60.3","5.49","3.91","","0.85","ASTM A 234 GB WPB"
"A0000068","RED CONC (323,80x219,10x6,35x6,35) ASTM A 234 GB WPB PESO 12,70 12x8"" SCH 20","RED CONC","","un","323.8","219.1","6.35","6.35","","12.7","ASTM A 234 GB WPB"
"A0000067","RED CONC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","RED CONC","","un","273","219.1","9.27","8.18","","9.6","ASTM A 234 GB WPB"
"A0000066","RED CONC (168,30x88,90x7,11x5,49) ASTM A 234 GB WPB PESO 3,13 6x3"" SCH 40","RED CONC","","un","168.3","88.9","7.11","5.49","","3.13","ASTM A 234 GB WPB"
"A0000065","RED CONC (168,30x114,30x10,97x8,56) ASTM A 234 GB WPB PESO 3,30 6x4"" SCH 80","RED CONC","","un","168.3","114.3","10.97","8.56","","3.3","ASTM A 234 GB WPB"
"A0000064","RED CONC (141,30x114,30x6,55x6,02) ASTM A 234 GB WPB PESO 2,50","RED CONC","","un","141.3","114.3","6.55","6.02","","2.5","ASTM A 234 GB WPB"
"A0000063","RED CONC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,27 4x2"" SCH 40","RED CONC","","un","114.3","60.3","6.02","3.91","","1.27","ASTM A 234 GB WPB"
"A0000062","RED CONC (114,30x33,40x6,02x3,38) ASTM A 234 GB WPB PESO 1,40 4x1"" SCH 40","RED CONC","","un","114.3","33.4","6.02","3.38","","1.4","ASTM A 234 GB WPB"
"A0000061","RED CONC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,90 3x2"" SCH 40","RED CONC","","un","88.9","60.3","5.49","3.91","","0.9","ASTM A 234 GB WPB"
"A0000060","RED CONC (88,90x60,30x7,62x5,54) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 80","RED CONC","","un","88.9","60.3","7.62","5.54","","0.85","ASTM A 234 GB WPB"
