"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000295","TEE RED (60,30x33,40x5,54x4,55) ASTM A 234 GB WPB PESO 2,15 2x1"" SCH 80","TEE RED","","un","60.3","33.4","5.54","4.55","","2.15","ASTM A 234 GB WPB"
"A0000294","TEE RED (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 1,48 2x1"" SCH 40/STD","TEE RED","","un","60.3","33.4","3.91","3.38","","1.48","ASTM A 234 GB WPB"
"A0000293","TEE RED (48,30x33,40x3,68x3,38) ASTM A 234 GB WPB PESO 0,92 1 1/2x1"" SCH 40/STD","TEE RED","","un","48.3","33.4","3.68","3.38","","0.92","ASTM A 234 GB WPB"
"A0000292","TEE EQUAL (323,80x9,52) ASTM A 234 B16.9 BW PESO 65,00 12"" SCH STD","TEE EQUAL","","un","323.8","9.52","","","","65","ASTM A 234 B16.9 BW"
"A0000291","TEE EQUAL (48,30x3,68) ASTM A 234 B16.9 BW PESO 0,92 1 1/2"" SCH 40/STD","TEE EQUAL","","un","48.3","3.68","","","","0.92","ASTM A 234 B16.9 BW"
"A0000290","CAPS – CASQUETE SEMIELIPTICO (508,00x9,52) ASTM A 234 B16.9 BW PESO 32,00 20"" SCH 20","CAPS – CASQUETE SEMIELIPTICO","","un","508","9.52","","","","32","ASTM A 234 B16.9 BW"
"A0000289","CAPS – CASQUETE SEMIELIPTICO (457,20x23,83) ASTM A 234 B16.9 BW PESO 72,50 18"" SCH 80","CAPS – CASQUETE SEMIELIPTICO","","un","457.2","23.83","","","","72.5","ASTM A 234 B16.9 BW"
"A0000288","CAPS – CASQUETE SEMIELIPTICO (457,20x14,27) ASTM A 234 B16.9 BW PESO 42,00 18"" SCH 40","CAPS – CASQUETE SEMIELIPTICO","","un","457.2","14.27","","","","42","ASTM A 234 B16.9 BW"
"A0000287","CAPS – CASQUETE SEMIELIPTICO (406,40x12,70) ASTM A 234 B16.9 BW PESO 31,50 16"" SCH 40","CAPS – CASQUETE SEMIELIPTICO","","un","406.4","12.7","","","","31.5","ASTM A 234 B16.9 BW"
"A0000286","CAPS – CASQUETE SEMIELIPTICO (355,60x12,70) ASTM A 234 B16.9 BW PESO 27,00 14"" SCH XS","CAPS – CASQUETE SEMIELIPTICO","","un","355.6","12.7","","","","27","ASTM A 234 B16.9 BW"
"A0000285","CAPS – CASQUETE SEMIELIPTICO (273,00x9,27) ASTM A 234 B16.9 BW PESO 9,15 10"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","273","9.27","","","","9.15","ASTM A 234 B16.9 BW"
"A0000284","CAPS – CASQUETE SEMIELIPTICO (219,10x8,18) ASTM A 234 B16.9 BW PESO 5,50 8"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","219.1","8.18","","","","5.5","ASTM A 234 B16.9 BW"
"A0000283","CAPS – CASQUETE SEMIELIPTICO (219,10x6,35) ASTM A 234 B16.9 BW PESO 4,50 8"" SCH 20","CAPS – CASQUETE SEMIELIPTICO","","un","219.1","6.35","","","","4.5","ASTM A 234 B16.9 BW"
"A0000282","CAPS – CASQUETE SEMIELIPTICO (168,30x10,97) ASTM A 234 B16.9 BW PESO 4,50 6"" SCH 80","CAPS – CASQUETE SEMIELIPTICO","","un","168.3","10.97","","","","4.5","ASTM A 234 B16.9 BW"
"A0000281","CAPS – CASQUETE SEMIELIPTICO (168,30x7,11) ASTM A 234 B16.9 BW PESO 3,00 6"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","168.3","7.11","","","","3","ASTM A 234 B16.9 BW"
"A0000280","CAPS – CASQUETE SEMIELIPTICO (141,30x6,55) ASTM A 234 B16.9 BW PESO 2,00 5"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","141.3","6.55","","","","2","ASTM A 234 B16.9 BW"
"A0000279","CAPS – CASQUETE SEMIELIPTICO (114,30x8,56) ASTM A 234 B16.9 BW PESO 1,70 4"" SCH 80","CAPS – CASQUETE SEMIELIPTICO","","un","114.3","8.56","","","","1.7","ASTM A 234 B16.9 BW"
"A0000278","CAPS – CASQUETE SEMIELIPTICO (114,30x6,02) ASTM A 234 B16.9 BW PESO 1,17 4"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","114.3","6.02","","","","1.17","ASTM A 234 B16.9 BW"
"A0000277","CAPS – CASQUETE SEMIELIPTICO (88,90x7,62) ASTM A 234 B16.9 BW PESO 0,92 3"" SCH 80","CAPS – CASQUETE SEMIELIPTICO","","un","88.9","7.62","","","","0.92","ASTM A 234 B16.9 BW"
"A0000276","CAPS – CASQUETE SEMIELIPTICO (88,90x5,49) ASTM A 234 B16.9 BW PESO 0,70 3"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","88.9","5.49","","","","0.7","ASTM A 234 B16.9 BW"
"A0000275","CAPS – CASQUETE SEMIELIPTICO (73,00x5,16) ASTM A 234 B16.9 BW PESO 0,39 2 1/2"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","73","5.16","","","","0.39","ASTM A 234 B16.9 BW"
"A0000274","CAPS – CASQUETE SEMIELIPTICO (60,30x5,54) ASTM A 234 B16.9 BW PESO 0,33 2"" SCH 80","CAPS – CASQUETE SEMIELIPTICO","","un","60.3","5.54","","","","0.33","ASTM A 234 B16.9 BW"
"A0000273","CAPS – CASQUETE SEMIELIPTICO (60,30x3,91) ASTM A 234 B16.9 BW PESO 0,25 2"" SCH 40/STD","CAPS – CASQUETE SEMIELIPTICO","","un","60.3","3.91","","","","0.25","ASTM A 234 B16.9 BW"
"A0000272","CODO RL 180º (114,30x6,02) ASTM A 234 GB WPB PESO 7,94 4"" SCH 40/STD","CODO","RL 180º","un","114.3","6.02","","","","7.94","ASTM A 234 GB WPB"
"A0000271","CODO RL 180º (88,90x5,49) ASTM A 234 GB WPB PESO 4,19 3"" SCH 40/STD","CODO","RL 180º","un","88.9","5.49","","","","4.19","ASTM A 234 GB WPB"
"A0000270","CODO RL 90º (406,40x21,44) ASTM A 234 GB WPB PESO 204,17 16"" SCH 80","CODO","RL 90º","un","406.4","21.44","","","","204.17","ASTM A 234 GB WPB"
"A0000269","CODO RL 90º (406,40x6,35) ASTM A 234 GB WPB PESO 62,95 16"" SCH 10","CODO","RL 90º","un","406.4","6.35","","","","62.95","ASTM A 234 GB WPB"
"A0000268","CODO RL 90º (273,00x15,09) ASTM A 234 GB WPB PESO 60,31 10"" SCH 80","CODO","RL 90º","un","273","15.09","","","","60.31","ASTM A 234 GB WPB"
"A0000267","CODO RL 90º (219,10x12,70) ASTM A 234 GB WPB PESO 31,30 8"" SCH 80","CODO","RL 90º","un","219.1","12.7","","","","31.3","ASTM A 234 GB WPB"
"A0000266","CODO RL 90º (219,10x7,04) ASTM A 234 GB WPB PESO 18,98 8"" SCH 30","CODO","RL 90º","un","219.1","7.04","","","","18.98","ASTM A 234 GB WPB"
"A0000265","CODO RL 90º (168,30x14,27) ASTM A 234 GB WPB PESO 20,42 6"" SCH 120","CODO","RL 90º","un","168.3","14.27","","","","20.42","ASTM A 234 GB WPB"
"A0000264","CODO RL 90º (114,30x11,13) ASTM A 234 GB WPB PESO 7,11 4"" SCH 120","CODO","RL 90º","un","114.3","11.13","","","","7.11","ASTM A 234 GB WPB"
"A0000263","CODO RL 90º (88,90x11,13) ASTM A 234 GB WPB PESO 4,02 3"" SCH 160","CODO","RL 90º","un","88.9","11.13","","","","4.02","ASTM A 234 GB WPB"
"A0000262","CODO RL 90º (26,70x3,91) ASTM A 234 GB WPB PESO 0,10 3/4"" SCH 80","CODO","RL 90º","un","26.7","3.91","","","","0.1","ASTM A 234 GB WPB"
"A0000261","CODO RL 45º (323,80x25,40) ASTM A 234 GB WPB PESO 70,44 12"" SCH 120","CODO","RL 45º","un","323.8","25.4","","","","70.44","ASTM A 234 GB WPB"
"A0000260","CODO RL 45º (273,00x15,09) ASTM A 234 GB WPB PESO 30,16 10"" SCH 80","CODO","RL 45º","un","273","15.09","","","","30.16","ASTM A 234 GB WPB"
"A0000259","CODO RL 45º (219,10x7,04) ASTM A 234 GB WPB PESO 9,49 8"" SCH 30","CODO","RL 45º","un","219.1","7.04","","","","9.49","ASTM A 234 GB WPB"
"A0000258","CODO RL 45º (114,30x13,49) ASTM A 234 GB WPB PESO 4,21 4"" SCH 160","CODO","RL 45º","un","114.3","13.49","","","","4.21","ASTM A 234 GB WPB"
"A0000257","CODO RL 45º (73,00x5,16) ASTM A 234 GB WPB PESO 0,65 2 1/2"" SCH 40/STD","CODO","RL 45º","un","73","5.16","","","","0.65","ASTM A 234 GB WPB"
"A0000256","CODO RL 45º (114,30x8,56) ASTM A 234 GB WPB PESO 2,70 4"" SCH 80","CODO","RL 45º","un","114.3","8.56","","","","2.7","ASTM A 234 GB WPB"
"A0000255","CODO RL 45º (33,40x4,55) ASTM A 234 GB WPB PESO 0,10 1"" SCH 80","CODO","RL 45º","un","33.4","4.55","","","","0.1","ASTM A 234 GB WPB"
