"Código","Nombre","Díametro Exterior","Espesor Nominal","Largo Mínimo","Largo Máximo","Tipo Costura","Tipo de Acero","Tratamiento Térmico","Norma","Forma","Rubro","Materia prima"
"C0001442","48,30 x 5,08 x SC Gr.6 ASTM A 333 1 1/2"" SCH 80 (6500/11800)","48.3","5.08","6500","11800","SC","Gr.6","","ASTM A 333","REDONDO","CONDUCCION",""
"C0001443","64,30 x 61,30 x CCB SAE 1008/1010   DIN 2393  (3000.00/5000.00)","64.3","61.3","3000","5000","CCB","SAE 1008/1010  ","","DIN 2393 ","REDONDO","ESTRUCTURAL",""
"C0001444","18,00 x 1,50 x SC SAE 1008/1010   ASTM A 179 (16000.00/16015.00)","18","1.5","16000","16015","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001445","38,10 x 4,10 x SC SAE 1010 ASTM A 192 (10500/12500)","38.1","4.1","10500","12500","SC","SAE 1010","","ASTM A 192","REDONDO","PARA CALDERAS","mp"
"C0001446","406,40 x 7,92 x CC (ERW) GºB PSL1 API 5L / A53 16"" SCH 20 (6000/12000)","406.4","7.92","6000","12000","CC (ERW)","GºB PSL1","","API 5L / A53","REDONDO","CONDUCCION","mp"
"C0001447","44,45 x 4,55 x SC SAE 1010 ASTM A 192 (11000/13000)","44.45","4.55","11000","13000","SC","SAE 1010","","ASTM A 192","REDONDO","PARA CALDERAS","mp"
"C0001448","50,80 x 5,20 x SC T22 ASTM A 213 (7000.00/7500.00)","50.8","5.2","7000","7500","SC","T22","","ASTM A 213","REDONDO","CONDUCCION",""
"C0001449","76,20 x 9,10 x SC SAE 1008/1010   ASTM A 192 (5000/8000)","76.2","9.1","5000","8000","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","CONDUCCION",""
"C0001450","63,50 x 5,20 x SC SAE 1008/1010   ASTM A 192 (11000.00/12000.00)","63.5","5.2","11000","12000","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001451","31,75 x 1,65 x SC SAE 1008/1010   ASTM A 179 (8540/8546)","31.75","1.65","8540","8546","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","CIRCUITO HIDRAULICO",""
"C0001452","101,60 x 5,74 x SC SAE 1010 ASTM A 192 (6000/12500)","101.6","5.74","6000","12500","SC","SAE 1010","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001453","70,00 x 5,20 x SC SAE 1020 ASTM A 192 (6000.00/12000.00)","70","5.2","6000","12000","SC","SAE 1020","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001454","406,40 x 7,14 x CC X60 PSL2 API 5L TRICAPADO 16"" (10500/12500)","406.4","7.14","10500","12500","CC","X60 PSL2","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001455","406,40 x 10,31 x SC X60 PSL2 API 5L TRICAPADO 16"" (10500/12500)","406.4","10.31","10500","12500","SC","X60 PSL2","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001456","406,00 x 11,13 x SC X60 PSL2 API 5L 16"" (10500/12500)","406","11.13","10500","12500","SC","X60 PSL2","","API 5L","REDONDO","CONDUCCION","mp"
"C0001457","406,40 x 7,14 x SC X60 PSL2 ASTM A 106 / API 5L TRICAPADO 3PE CAN/CSA STANDARD Z245.21-14 System B1 ","406.4","7.14","10500","12500","SC","X60 PSL2","","ASTM A 106 / API 5L TRICAPADO 3PE CAN/CSA STANDARD Z245.21-14 System B1","REDONDO","CONDUCCION","mp"
"C0001458","406,40 x 10,31 x CC X60 PSL2 API 5L TRICAPADO 16"" (10500/12500)","406.4","10.31","10500","12500","CC","X60 PSL2","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001459","406,40 x 7,92 x CC X60 PSL2 API 5L TRICAPADO 16"" (10500/12500)","406.4","7.92","10500","12500","CC","X60 PSL2","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001460","406,40 x 11,13 x SC X60 PSL2 ASTM A 106 / API 5L TRICAPADO 3PE CAN/CSA STANDARD Z245.21-14 System B1","406.4","11.13","10500","12500","SC","X60 PSL2","","ASTM A 106 / API 5L TRICAPADO 3PE CAN/CSA STANDARD Z245.21-14 System B1","REDONDO","CONDUCCION",""
"C0001461","406,40 x 11,13 x CC X60 PSL2 API 5L TRICAPADO 16"" (10500/12500)","406.4","11.13","10500","12500","CC","X60 PSL2","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
"C0001462","508,00 x 25,40 x CC (SAWL) X65 PSL2 API 5L TRICAPADO 3LPE NAG-108 G4 20"" (10500/12500)","508","25.4","10500","12500","CC (SAWL)","X65 PSL2","","API 5L TRICAPADO 3LPE NAG-108 G4","REDONDO","CONDUCCION","mp"
"C0001463","609,60 x 25,40 x CC X65 PSL1 API 5L TRICAPADO 24"" (10500/12500)","609.6","25.4","10500","12500","CC","X65 PSL1","","API 5L TRICAPADO","REDONDO","CONDUCCION","mp"
