"Código","Nombre","Díametro Exterior","Espesor Nominal","Largo Mínimo","Largo Máximo","Tipo Costura","Tipo de Acero","Tratamiento Térmico","Norma","Forma","Rubro","Materia prima"
"C0000001","12,70 x 0,90 x CCC LF SAE 1004/1008 IRAM 500-2590 (7700/7700)","12.7","0.9","7700","7700","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000002","19,05 x 1,10 x CCC LF SAE 1004/1008 IRAM 500-2590 (6000/6000)","19.05","1.1","6000","6000","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000003","19,05 x 2,00 x CC RI LC SAE 1008 DIN 2394 (5800/5800)","19.05","2","5800","5800","CC RI","SAE 1008","LC","DIN 2394","","","mp"
"C0000004","19,05 x 2,00 x CCC LF SAE 1004/1008 IRAM 500-2590 (5800/5800)","19.05","2","5800","5800","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000005","21,30 x 2,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000006","21,30 x 2,25 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000007","21,30 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000008","22,20 x 2,00 x CC RI LC SAE 1020 DIN 2394 (4100/4100)","22.2","2","4100","4100","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000009","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","25.4","2","6000","6000","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000010","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (6200/6200)","25.4","2","6200","6200","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000011","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (7160/7160)","25.4","2","7160","7160","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000012","25,40 x 2,25 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","2.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000013","25,40 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000014","25,40 x 3,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000015","26,70 x 2,00 x CC RI LC SAE 1008/1010   DIN 2394/ EN10305-3 (6000/6000)","26.7","2","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394/ EN10305-3","","","mp"
"C0000016","26,70 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","26.7","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000017","26,70 x 3,00 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","26.7","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000018","26,70 x 3,35 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","26.7","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000019","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (7170/7170)","26.7","3.75","7170","7170","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000020","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (7885/7885)","26.7","3.75","7885","7885","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000021","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (8810/8810)","26.7","3.75","8810","8810","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000022","26,90 x 6,30 x CC RI LC SAE 1005 (5800/5800)","26.9","6.3","5800","5800","CC RI","SAE 1005","LC","","","","mp"
"C0000023","28,57 x 0,90 x CCC LF SAE 1008/1010   DIN 2394 (6000/6000)","28.57","0.9","6000","6000","CCC","SAE 1008/1010  ","LF","DIN 2394","","","mp"
"C0000024","28,60 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","28.6","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000025","31,75 x 1,80 x CC RI LF SAE 1010 DIN 2394 (6000/6000)","31.75","1.8","6000","6000","CC RI","SAE 1010","LF","DIN 2394","","","mp"
"C0000026","31,75 x 2,00 x CCC MLF 340 IRAM 500-2590 (4100/4100)","31.75","2","4100","4100","CCC","MLF 340","","IRAM 500-2590","","","mp"
"C0000027","31,75 x 2,00 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000028","31,75 x 2,25 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2.25","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000029","31,75 x 2,35 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","31.75","2.35","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000030","31,75 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000031","31,75 x 3,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","31.75","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000032","31,75 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","31.75","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000033","31,75 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","31.75","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000034","33,40 x 2,00 x CC RI LC SAE 1021 EN 10305-3 E275+N (7100/7100)","33.4","2","7100","7100","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000035","33,40 x 2,85 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","33.4","2.85","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000036","33,40 x 3,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000037","33,40 x 3,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000038","33,40 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","33.4","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000039","33,40 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000040","33,40 x 4,00 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","33.4","4","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000041","33,40 x 4,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","4","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000042","33,40 x 4,25 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","4.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000043","33,40 x 4,25 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","33.4","4.25","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000044","33,40 x 4,55 x CC RI LC SAE 1010 DIN 2394 1"" SCH 80 (6000/6000)","33.4","4.55","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000045","33,40 x 4,75 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","33.4","4.75","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000046","33,40 x 5,30 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","5.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000047","33,40 x 5,70 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","5.7","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000048","34,92 x 1,25 x CC RI LF SAE 1004/1008 IRAM 500-2590 (6700/6700)","34.92","1.25","6700","6700","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000049","38,10 x 1,80 x CC RI LF SAE 1004/1008 IRAM 500-2590 (7000/7000)","38.1","1.8","7000","7000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000050","38,10 x 2,00 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","38.1","2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000051","38,10 x 2,25 x CC RI LC SAE 1008/1010   DIN 2394/ EN10305-3 (6000/6000)","38.1","2.25","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394/ EN10305-3","","","mp"
"C0000052","38,10 x 2,35 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","38.1","2.35","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000053","38,10 x 2,50 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","38.1","2.5","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000054","38,10 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","38.1","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000055","38,10 x 2,85 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6500/6500)","38.1","2.85","6500","6500","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000056","38,10 x 3,00 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","38.1","3","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000057","38,10 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","38.1","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000058","40,00 x 1,25 x CC RI LF SAE 1004/1008 IRAM 500-2590 (7000/7000)","40","1.25","7000","7000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000059","40,00 x 1,50 x CC RI LF SAE 1004/1008 IRAM 500-2590 (11200/11200)","40","1.5","11200","11200","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000060","40,00 x 1,50 x CC RI LC SAE 1010 (11200/11200)","40","1.5","11200","11200","CC RI","SAE 1010","LC","","","","mp"
"C0000061","41,27 x 1,60 x CC RI LF SAE 1004/1008 IRAM 500-2590 (4500/4500)","41.27","1.6","4500","4500","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000062","42,20 x 2,00 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","42.2","2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000063","42,20 x 2,25 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","42.2","2.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000064","42,20 x 2,50 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","42.2","2.5","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000065","42,20 x 2,65 x CC RI LC SAE 1010 DIN 2394 (4350/4350)","42.2","2.65","4350","4350","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000066","42,20 x 3,20 x CC RI LC SAE 1020 (6000/6000)","42.2","3.2","6000","6000","CC RI","SAE 1020","LC","","","","mp"
"C0000067","42,20 x 3,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","REDONDO","PARA TREFILAR","mp"
"C0000068","42,20 x 3,50 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","42.2","3.5","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000069","42,20 x 3,75 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","42.2","3.75","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000070","42,20 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000071","42,20 x 4,00 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","42.2","4","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000072","42,20 x 4,25 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","42.2","4.25","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000073","42,20 x 4,25 x CC RI LC SAE 1008/1010   DIN 2393  (6000/6400)","42.2","4.25","6000","6400","CC RI","SAE 1008/1010  ","LC","DIN 2393 ","","","mp"
"C0000074","42,20 x 4,75 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","42.2","4.75","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000075","42,20 x 4,75 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","42.2","4.75","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000076","42,20 x 5,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","5","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000077","42,20 x 5,30 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","5.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000078","42,20 x 5,50 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","5.5","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000079","42,20 x 5,70 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","5.7","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000080","42,20 x 6,30 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","42.2","6.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000081","44,45 x 1,25 x CC RI LF SAE 1004/1008 IRAM 500-2590 (5000/5000)","44.45","1.25","5000","5000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000082","44,45 x 1,60 x CC RI LF SAE 1004/1008 IRAM 500-2590 (6000/6000)","44.45","1.6","6000","6000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000083","44,45 x 1,80 x CC RI LF SAE 1010 DIN 2394 (7000/7000)","44.45","1.8","7000","7000","CC RI","SAE 1010","LF","DIN 2394","","","mp"
"C0000084","44,45 x 2,00 x CC RI LC SAE 1010 (6000/6000)","44.45","2","6000","6000","CC RI","SAE 1010","LC","","","","mp"
"C0000085","44,45 x 2,25 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","44.45","2.25","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000086","44,45 x 2,50 x CC RI DEC F-24 SAE 1004/1008 IRAM 500-2590 (4350/4350)","44.45","2.5","4350","4350","CC RI","SAE 1004/1008","DEC F-24","IRAM 500-2590","","","mp"
"C0000087","44,45 x 2,50 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","44.45","2.5","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000088","44,45 x 3,20 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","44.45","3.2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000089","44,45 x 3,55 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","44.45","3.55","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000090","48,10 x 2,50 x CC RI DEC F-24 SAE 1004/1008 IRAM 500-2590 (6400/6400)","48.1","2.5","6400","6400","CC RI","SAE 1004/1008","DEC F-24","IRAM 500-2590","","","mp"
"C0000091","48,30 x 2,25 x CC RI LC SAE 1010 DIN 2394 (6400/6400)","48.3","2.25","6400","6400","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000092","48,30 x 2,35 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6400/6400)","48.3","2.35","6400","6400","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000093","48,30 x 2,65 x CC RI LC SAE 1021 EN 10305-3 E275+N (4300/4300)","48.3","2.65","4300","4300","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000094","48,30 x 2,65 x CC RI LC SAE 1021 EN 10305-3 E275+N (5600/5600)","48.3","2.65","5600","5600","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000095","48,30 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","48.3","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000096","48,30 x 2,65 x CC RI LC SAE 1021 EN 10305-3 E275+N (6900/6900)","48.3","2.65","6900","6900","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000097","48,30 x 2,85 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6400)","48.3","2.85","6000","6400","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000098","48,30 x 3,20 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","48.3","3.2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000099","48,30 x 3,20 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (8500/8500)","48.3","3.2","8500","8500","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000100","48,30 x 3,20 x CC RI LC SAE 1004/1008 IRAM 500-2590 (12000/12000)","48.3","3.2","12000","12000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000101","48,30 x 3,35 x CC RI LC SAE 1010 DIN 2394 (12000/12000)","48.3","3.35","12000","12000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000102","48,30 x 3,85 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","48.3","3.85","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000103","48,30 x 3,85 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (9000/9000)","48.3","3.85","9000","9000","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000104","48,30 x 4,00 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","48.3","4","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000105","48,30 x 4,25 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","48.3","4.25","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000106","48,30 x 4,75 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","48.3","4.75","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000107","48,30 x 5,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","48.3","5","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000108","48,30 x 5,15 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","48.3","5.15","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000109","48,30 x 5,30 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","48.3","5.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000110","48,30 x 5,70 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","48.3","5.7","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000111","48,30 x 6,30 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","48.3","6.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000112","50,00 x 4,75 x CC (12000/12000)","50","4.75","12000","12000","CC","","","","","","mp"
"C0000113","50,80 x 1,80 x CC RI LF SAE 1004/1008 IRAM 500-2590 (4600/4600)","50.8","1.8","4600","4600","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000114","50,80 x 1,80 x CC RI LF SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","1.8","6000","6000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000115","50,80 x 2,00 x CC RI LF SAE 1004/1008 IRAM 500-2590 (4100/4100)","50.8","2","4100","4100","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000116","50,80 x 2,00 x CC RI LF SAE 1004/1008 IRAM 500-2590 (7700/7700)","50.8","2","7700","7700","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000117","50,80 x 2,25 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","2.25","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000118","50,80 x 2,35 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","2.35","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000119","50,80 x 2,50 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","2.5","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000120","50,80 x 2,65 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","50.8","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000121","50,80 x 3,20 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","3.2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000122","50,80 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","50.8","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000123","50,80 x 3,55 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","50.8","3.55","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000124","50,80 x 3,55 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","50.8","3.55","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000125","50,80 x 3,75 x CC RI LC SAE 1010 (6000/6000)","50.8","3.75","6000","6000","CC RI","SAE 1010","LC","","","","mp"
"C0000126","50,80 x 4,00 x CC RI LC SAE 1004/1008 IRAM 500-2590 (12000/12000)","50.8","4","12000","12000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000127","50,80 x 4,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","50.8","4.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000128","50,80 x 5,30 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","50.8","5.3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000129","50,80 x 6,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","50.8","6.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000130","57,15 x 1,20 x CC RI LF SAE 1004/1008 IRAM 500-2590 (6000/6000)","57.15","1.2","6000","6000","CC RI","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000131","60,30 x 1,50 x CC RI LF SAE 1008 (6580/6580)","60.3","1.5","6580","6580","CC RI","SAE 1008","LF","","","","mp"
"C0000132","60,30 x 1,80 x CC RI LC SAE 1004/1008 IRAM 500-2590 (7000/7000)","60.3","1.8","7000","7000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000133","60,30 x 2,00 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","60.3","2","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000134","60,30 x 2,25 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (7700/7700)","60.3","2.25","7700","7700","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000135","60,30 x 2,35 x CC RI LC SAE 1010 DIN 2394 (12000/12000)","60.3","2.35","12000","12000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000136","60,30 x 2,50 x CC RI DEC F-24 SAE 1004/1008 IRAM 500-2590 (4400/4400)","60.3","2.5","4400","4400","CC RI","SAE 1004/1008","DEC F-24","IRAM 500-2590","","","mp"
"C0000137","60,30 x 2,65 x CC RI LC SAE 1010 DIN 2394 (7700/7700)","60.3","2.65","7700","7700","CC RI","SAE 1010","LC","DIN 2394","REDONDO","PARA TREFILAR","mp"
"C0000138","60,30 x 2,85 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (7700/7700)","60.3","2.85","7700","7700","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000139","60,30 x 3,00 x CC RI LC SAE 1010 (6000/6000)","60.3","3","6000","6000","CC RI","SAE 1010","LC","","","","mp"
"C0000140","60,30 x 3,20 x CCC LC MLC 380 (5900/5900)","60.3","3.2","5900","5900","CCC","MLC 380","LC","","","","mp"
"C0000141","60,30 x 3,20 x CC RI LC SAE 1004/1008 IRAM 500-2590 (12000/12000)","60.3","3.2","12000","12000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000142","60,30 x 3,35 x CC RI LC SAE 1021 (5700/5700)","60.3","3.35","5700","5700","CC RI","SAE 1021","LC","","","","mp"
"C0000143","60,30 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","60.3","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000144","60,30 x 3,35 x CC RI LC SAE 1021 EN 10305-3 E275+N (6000/6000)","60.3","3.35","6000","6000","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000145","60,30 x 3,35 x CC RI LC SAE 1021 EN 10305-3 E275+N (6400/6400)","60.3","3.35","6400","6400","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000146","60,30 x 3,35 x CC RI LC SAE 1010 DIN 2394 (12000/12000)","60.3","3.35","12000","12000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000147","60,30 x 3,35 x CC RI LC SAE 1021 EN 10305-3 E275+N (7100/7200)","60.3","3.35","7100","7200","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000148","60,30 x 3,50 x CC RI LC F-24   ASTM A 53 Gr A (6400/6400)","60.3","3.5","6400","6400","CC RI","F-24  ","LC","ASTM A 53 Gr A","","","mp"
"C0000149","60,30 x 3,75 x CC RI LC SAE 1010 DIN 2394 (4500/4500)","60.3","3.75","4500","4500","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000150","60,30 x 3,75 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","60.3","3.75","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
