"Lista de precios","Producto","UOM","Proveedor","Precio"
"COMPRA","BRIDA SERIE 150 (48,30x3,68) WN RF ASTM A 105 B16.5 PESO 1,74 1 1/2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","5.44"
"VENTA","BRIDA SERIE 150 (48,30x3,68) SW RF ASTM A 105 B16.5 PESO 1,36 1 1/2"" SCH 40","UNIDAD","","5.76"
"REVENDEDOR","BRIDA SERIE 150 (48,30x3,68) SW RF ASTM A 105 B16.5 PESO 1,36 1 1/2"" SCH 40","UNIDAD","","5.76"
"COMPRA","BRIDA SERIE 150 (48,30x3,68) SW RF ASTM A 105 B16.5 PESO 1,36 1 1/2"" SCH 40","UNIDAD","ADLER STEEL LTD","4.85"
"COMPRA","BRIDA SERIE 150 (48,30x3,68) SW RF ASTM A 105 B16.5 PESO 1,36 1 1/2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","3.49"
"VENTA","BRIDA SERIE 150 (48,30) SO RF ASTM A 105 B16.5 PESO 1,32 1 1/2""","UNIDAD","","5.52"
"REVENDEDOR","BRIDA SERIE 150 (48,30) SO RF ASTM A 105 B16.5 PESO 1,32 1 1/2""","UNIDAD","","5.52"
"COMPRA","BRIDA SERIE 150 (48,30) SO RF ASTM A 105 B16.5 PESO 1,32 1 1/2""","UNIDAD","ADLER STEEL LTD","4.82"
"COMPRA","BRIDA SERIE 150 (48,30) SO RF ASTM A 105 B16.5 PESO 1,32 1 1/2""","UNIDAD","FITTINGS HAN'S PIPE","3.35"
"VENTA","BRIDA SERIE 150 (48,30) BL RF ASTM A 105 B16.5 PESO 1,53 1 1/2""","UNIDAD","","7.88"
"REVENDEDOR","BRIDA SERIE 150 (48,30) BL RF ASTM A 105 B16.5 PESO 1,53 1 1/2""","UNIDAD","","7.88"
"COMPRA","BRIDA SERIE 150 (48,30) BL RF ASTM A 105 B16.5 PESO 1,53 1 1/2""","UNIDAD","ADLER STEEL LTD","2.26"
"COMPRA","BRIDA SERIE 150 (48,30) BL RF ASTM A 105 B16.5 PESO 1,53 1 1/2""","UNIDAD","FITTINGS HAN'S PIPE","3.68"
"VENTA","BRIDA SERIE 150 (457,20x9,52) WN RF ASTM A 105 B16.5 PESO 68,30 18"" SCH STD","UNIDAD","","331.73"
"REVENDEDOR","BRIDA SERIE 150 (457,20x9,52) WN RF ASTM A 105 B16.5 PESO 68,30 18"" SCH STD","UNIDAD","","331.73"
"COMPRA","BRIDA SERIE 150 (457,20x9,52) WN RF ASTM A 105 B16.5 PESO 68,30 18"" SCH STD","UNIDAD","ADLER STEEL LTD","198.90"
"COMPRA","BRIDA SERIE 150 (457,20x9,52) WN RF ASTM A 105 B16.5 PESO 68,30 18"" SCH STD","UNIDAD","FITTINGS HAN'S PIPE","156.08"
"VENTA","BRIDA SERIE 150 (457,20) SO RF ASTM A 105 B16.5 PESO 48,90 18""","UNIDAD","","141.20"
"REVENDEDOR","BRIDA SERIE 150 (457,20) SO RF ASTM A 105 B16.5 PESO 48,90 18""","UNIDAD","","141.20"
"COMPRA","BRIDA SERIE 150 (457,20) SO RF ASTM A 105 B16.5 PESO 48,90 18""","UNIDAD","ADLER STEEL LTD","132.84"
"COMPRA","BRIDA SERIE 150 (457,20) SO RF ASTM A 105 B16.5 PESO 48,90 18""","UNIDAD","FITTINGS HAN'S PIPE","97.66"
"VENTA","BRIDA SERIE 150 (457,20) BL RF ASTM A 105 B16.5 PESO 93,70 18""","UNIDAD","","356.16"
"REVENDEDOR","BRIDA SERIE 150 (457,20) BL RF ASTM A 105 B16.5 PESO 93,70 18""","UNIDAD","","356.16"
"COMPRA","BRIDA SERIE 150 (457,20) BL RF ASTM A 105 B16.5 PESO 93,70 18""","UNIDAD","ADLER STEEL LTD","205.35"
"COMPRA","BRIDA SERIE 150 (457,20) BL RF ASTM A 105 B16.5 PESO 93,70 18""","UNIDAD","FITTINGS HAN'S PIPE","184.20"
"VENTA","BRIDA SERIE 150 (42,20) SO RF ASTM A 105 B16.5 PESO 1,03 1 1/4""","UNIDAD","","6.30"
"REVENDEDOR","BRIDA SERIE 150 (42,20) SO RF ASTM A 105 B16.5 PESO 1,03 1 1/4""","UNIDAD","","6.30"
"COMPRA","BRIDA SERIE 150 (42,20) SO RF ASTM A 105 B16.5 PESO 1,03 1 1/4""","UNIDAD","ADLER STEEL LTD","3.89"
"COMPRA","BRIDA SERIE 150 (42,20) SO RF ASTM A 105 B16.5 PESO 1,03 1 1/4""","UNIDAD","FITTINGS HAN'S PIPE","3.02"
"VENTA","BRIDA SERIE 150 (42,20) BL RF ASTM A 105 B16.5 PESO 1,17 1 1/4""","UNIDAD","","6.04"
"REVENDEDOR","BRIDA SERIE 150 (42,20) BL RF ASTM A 105 B16.5 PESO 1,17 1 1/4""","UNIDAD","","6.04"
"COMPRA","BRIDA SERIE 150 (42,20) BL RF ASTM A 105 B16.5 PESO 1,17 1 1/4""","UNIDAD","ADLER STEEL LTD","3.95"
"COMPRA","BRIDA SERIE 150 (42,20) BL RF ASTM A 105 B16.5 PESO 1,17 1 1/4""","UNIDAD","FITTINGS HAN'S PIPE","3.05"
"VENTA","BRIDA SERIE 150 (406,40x7,92) WN RF ASTM A 105 B16.5 PESO 60,44 16"" SCH 20","UNIDAD","","285.18"
"REVENDEDOR","BRIDA SERIE 150 (406,40x7,92) WN RF ASTM A 105 B16.5 PESO 60,44 16"" SCH 20","UNIDAD","","285.18"
"COMPRA","BRIDA SERIE 150 (406,40x7,92) WN RF ASTM A 105 B16.5 PESO 60,44 16"" SCH 20","UNIDAD","ADLER STEEL LTD","165.73"
"COMPRA","BRIDA SERIE 150 (406,40x7,92) WN RF ASTM A 105 B16.5 PESO 60,44 16"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","134.33"
"VENTA","BRIDA SERIE 150 (406,40x12,70) WN RF ASTM A 105 B16.5 PESO 66,27 16"" SCH 40","UNIDAD","","199.29"
"REVENDEDOR","BRIDA SERIE 150 (406,40x12,70) WN RF ASTM A 105 B16.5 PESO 66,27 16"" SCH 40","UNIDAD","","199.29"
"COMPRA","BRIDA SERIE 150 (406,40x12,70) WN RF ASTM A 105 B16.5 PESO 66,27 16"" SCH 40","UNIDAD","ADLER STEEL LTD","177.97"
"COMPRA","BRIDA SERIE 150 (406,40x12,70) WN RF ASTM A 105 B16.5 PESO 66,27 16"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","136.61"
"VENTA","BRIDA SERIE 150 (406,40) SO RF ASTM A 105 B16.5 PESO 44,80 16""","UNIDAD","","130.97"
"REVENDEDOR","BRIDA SERIE 150 (406,40) SO RF ASTM A 105 B16.5 PESO 44,80 16""","UNIDAD","","130.97"
"COMPRA","BRIDA SERIE 150 (406,40) SO RF ASTM A 105 B16.5 PESO 44,80 16""","UNIDAD","ADLER STEEL LTD","114.67"
"COMPRA","BRIDA SERIE 150 (406,40) SO RF ASTM A 105 B16.5 PESO 44,80 16""","UNIDAD","FITTINGS HAN'S PIPE","90.34"
"VENTA","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 76,00 16""","UNIDAD","","212.45"
"REVENDEDOR","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 76,00 16""","UNIDAD","","212.45"
"COMPRA","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 76,00 16""","UNIDAD","ADLER STEEL LTD","167.58"
"COMPRA","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 76,00 16""","UNIDAD","FITTINGS HAN'S PIPE","148.03"
"VENTA","BRIDA SERIE 150 (355,60x7,92) WN RF ASTM A 105 B16.5 PESO 49,03 14"" SCH 20","UNIDAD","","225.50"
"REVENDEDOR","BRIDA SERIE 150 (355,60x7,92) WN RF ASTM A 105 B16.5 PESO 49,03 14"" SCH 20","UNIDAD","","225.50"
"COMPRA","BRIDA SERIE 150 (355,60x7,92) WN RF ASTM A 105 B16.5 PESO 49,03 14"" SCH 20","UNIDAD","ADLER STEEL LTD","130.54"
"COMPRA","BRIDA SERIE 150 (355,60x7,92) WN RF ASTM A 105 B16.5 PESO 49,03 14"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","107.85"
"VENTA","BRIDA SERIE 150 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 52,79 14"" SCH 40","UNIDAD","","237.38"
"REVENDEDOR","BRIDA SERIE 150 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 52,79 14"" SCH 40","UNIDAD","","237.38"
"COMPRA","BRIDA SERIE 150 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 52,79 14"" SCH 40","UNIDAD","ADLER STEEL LTD","140.24"
"COMPRA","BRIDA SERIE 150 (355,60x11,10) WN RF ASTM A 105 B16.5 PESO 52,79 14"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","111.34"
"VENTA","BRIDA SERIE 150 (355,60) SO RF ASTM A 105 B16.5 PESO 34,60 14""","UNIDAD","","99.97"
"REVENDEDOR","BRIDA SERIE 150 (355,60) SO RF ASTM A 105 B16.5 PESO 34,60 14""","UNIDAD","","99.97"
"COMPRA","BRIDA SERIE 150 (355,60) SO RF ASTM A 105 B16.5 PESO 34,60 14""","UNIDAD","ADLER STEEL LTD","90.90"
"COMPRA","BRIDA SERIE 150 (355,60) SO RF ASTM A 105 B16.5 PESO 34,60 14""","UNIDAD","FITTINGS HAN'S PIPE","70.34"
"VENTA","BRIDA SERIE 150 (355,60) BL RF ASTM A 105 B16.5 PESO 58,10 14""","UNIDAD","","163.52"
"REVENDEDOR","BRIDA SERIE 150 (355,60) BL RF ASTM A 105 B16.5 PESO 58,10 14""","UNIDAD","","163.52"
"COMPRA","BRIDA SERIE 150 (355,60) BL RF ASTM A 105 B16.5 PESO 58,10 14""","UNIDAD","ADLER STEEL LTD","127.84"
"COMPRA","BRIDA SERIE 150 (355,60) BL RF ASTM A 105 B16.5 PESO 58,10 14""","UNIDAD","FITTINGS HAN'S PIPE","113.76"
"VENTA","BRIDA SERIE 150 (33,40x4,55) WN RF ASTM A 105 B16.5 PESO 1,13 1"" SCH 80","UNIDAD","","7.09"
"REVENDEDOR","BRIDA SERIE 150 (33,40x4,55) WN RF ASTM A 105 B16.5 PESO 1,13 1"" SCH 80","UNIDAD","","7.09"
"COMPRA","BRIDA SERIE 150 (33,40x4,55) WN RF ASTM A 105 B16.5 PESO 1,13 1"" SCH 80","UNIDAD","ADLER STEEL LTD","4.01"
"COMPRA","BRIDA SERIE 150 (33,40x4,55) WN RF ASTM A 105 B16.5 PESO 1,13 1"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","3.74"
"VENTA","BRIDA SERIE 150 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 0,82 1"" SCH 80","UNIDAD","","3.84"
"REVENDEDOR","BRIDA SERIE 150 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 0,82 1"" SCH 80","UNIDAD","","3.84"
"COMPRA","BRIDA SERIE 150 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 0,82 1"" SCH 80","UNIDAD","ADLER STEEL LTD","3.15"
"COMPRA","BRIDA SERIE 150 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 0,82 1"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","2.87"
"VENTA","BRIDA SERIE 150 (33,40x3,38) WN RF ASTM A 105 B16.5 PESO 1,09 1"" SCH 40","UNIDAD","","6.83"
"REVENDEDOR","BRIDA SERIE 150 (33,40x3,38) WN RF ASTM A 105 B16.5 PESO 1,09 1"" SCH 40","UNIDAD","","6.83"
"COMPRA","BRIDA SERIE 150 (33,40x3,38) WN RF ASTM A 105 B16.5 PESO 1,09 1"" SCH 40","UNIDAD","ADLER STEEL LTD","4.04"
"COMPRA","BRIDA SERIE 150 (33,40x3,38) WN RF ASTM A 105 B16.5 PESO 1,09 1"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","3.71"
"VENTA","BRIDA SERIE 150 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 0,81 1"" SCH 40","UNIDAD","","4.99"
"REVENDEDOR","BRIDA SERIE 150 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 0,81 1"" SCH 40","UNIDAD","","4.99"
"COMPRA","BRIDA SERIE 150 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 0,81 1"" SCH 40","UNIDAD","ADLER STEEL LTD","3.15"
"COMPRA","BRIDA SERIE 150 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 0,81 1"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","2.68"
"VENTA","BRIDA SERIE 150 (33,40) SO RF ASTM A 105 B16.5 PESO 0,78 1""","UNIDAD","","3.60"
"REVENDEDOR","BRIDA SERIE 150 (33,40) SO RF ASTM A 105 B16.5 PESO 0,78 1""","UNIDAD","","3.60"
"COMPRA","BRIDA SERIE 150 (33,40) SO RF ASTM A 105 B16.5 PESO 0,78 1""","UNIDAD","ADLER STEEL LTD","3.15"
"COMPRA","BRIDA SERIE 150 (33,40) SO RF ASTM A 105 B16.5 PESO 0,78 1""","UNIDAD","FITTINGS HAN'S PIPE","2.15"
"VENTA","BRIDA SERIE 150 (33,40) BL RF ASTM A 105 B16.5 PESO 0,86 1""","UNIDAD","","3.63"
"REVENDEDOR","BRIDA SERIE 150 (33,40) BL RF ASTM A 105 B16.5 PESO 0,86 1""","UNIDAD","","3.63"
"COMPRA","BRIDA SERIE 150 (33,40) BL RF ASTM A 105 B16.5 PESO 0,86 1""","UNIDAD","ADLER STEEL LTD","3.17"
"COMPRA","BRIDA SERIE 150 (33,40) BL RF ASTM A 105 B16.5 PESO 0,86 1""","UNIDAD","FITTINGS HAN'S PIPE","2.20"
"VENTA","BRIDA SERIE 150 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 36,12 12"" SCH 20","UNIDAD","","167.97"
"REVENDEDOR","BRIDA SERIE 150 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 36,12 12"" SCH 20","UNIDAD","","167.97"
"COMPRA","BRIDA SERIE 150 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 36,12 12"" SCH 20","UNIDAD","ADLER STEEL LTD","94.65"
"COMPRA","BRIDA SERIE 150 (323,80x6,35) WN RF ASTM A 105 B16.5 PESO 36,12 12"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","71.79"
"VENTA","BRIDA SERIE 150 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 45,49 12"" SCH 80","UNIDAD","","133.83"
"REVENDEDOR","BRIDA SERIE 150 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 45,49 12"" SCH 80","UNIDAD","","133.83"
"COMPRA","BRIDA SERIE 150 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 45,49 12"" SCH 80","UNIDAD","ADLER STEEL LTD","111.84"
"COMPRA","BRIDA SERIE 150 (323,80x17,48) WN RF ASTM A 105 B16.5 PESO 45,49 12"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","92.18"
"COMPRA","BRIDA SERIE 150 (323,80x10,31) WN RF ASTM A 105 B16.5 PESO 38,98 12"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","79.75"
"VENTA","BRIDA SERIE 150 (323,80) SO RF ASTM A 105 B16.5 PESO 26,20 12""","UNIDAD","","78.22"
"REVENDEDOR","BRIDA SERIE 150 (323,80) SO RF ASTM A 105 B16.5 PESO 26,20 12""","UNIDAD","","78.22"
"COMPRA","BRIDA SERIE 150 (323,80) SO RF ASTM A 105 B16.5 PESO 26,20 12""","UNIDAD","ADLER STEEL LTD","68.21"
"COMPRA","BRIDA SERIE 150 (323,80) SO RF ASTM A 105 B16.5 PESO 26,20 12""","UNIDAD","FITTINGS HAN'S PIPE","54.41"
"VENTA","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 43,20 12""","UNIDAD","","120.46"
"REVENDEDOR","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 43,20 12""","UNIDAD","","120.46"
"COMPRA","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 43,20 12""","UNIDAD","ADLER STEEL LTD","93.54"
"COMPRA","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 43,20 12""","UNIDAD","FITTINGS HAN'S PIPE","83.98"
"VENTA","BRIDA SERIE 150 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 24,89 10"" SCH 40","UNIDAD","","72.76"
"REVENDEDOR","BRIDA SERIE 150 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 24,89 10"" SCH 40","UNIDAD","","72.76"
"COMPRA","BRIDA SERIE 150 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 24,89 10"" SCH 40","UNIDAD","ADLER STEEL LTD","63.65"
"COMPRA","BRIDA SERIE 150 (273,00x9,27) WN RF ASTM A 105 B16.5 PESO 24,89 10"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","50.19"
"VENTA","BRIDA SERIE 150 (273,00x6,35) WN RF ASTM A 105 B16.5 PESO 24,00 10"" SCH 20","UNIDAD","","105.37"
"REVENDEDOR","BRIDA SERIE 150 (273,00x6,35) WN RF ASTM A 105 B16.5 PESO 24,00 10"" SCH 20","UNIDAD","","105.37"
"COMPRA","BRIDA SERIE 150 (273,00x6,35) WN RF ASTM A 105 B16.5 PESO 24,00 10"" SCH 20","UNIDAD","ADLER STEEL LTD","58.84"
"COMPRA","BRIDA SERIE 150 (273,00x6,35) WN RF ASTM A 105 B16.5 PESO 24,00 10"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","BRIDA SERIE 150 (273,00) SO RF ASTM A 105 B16.5 PESO 16,50 10""","UNIDAD","","72.91"
"REVENDEDOR","BRIDA SERIE 150 (273,00) SO RF ASTM A 105 B16.5 PESO 16,50 10""","UNIDAD","","72.91"
"COMPRA","BRIDA SERIE 150 (273,00) SO RF ASTM A 105 B16.5 PESO 16,50 10""","UNIDAD","ADLER STEEL LTD","42.99"
"COMPRA","BRIDA SERIE 150 (273,00) SO RF ASTM A 105 B16.5 PESO 16,50 10""","UNIDAD","FITTINGS HAN'S PIPE","33.90"
"VENTA","BRIDA SERIE 150 (273,00) BL RF ASTM A 105 B16.5 PESO 28,80 10""","UNIDAD","","80.91"
"REVENDEDOR","BRIDA SERIE 150 (273,00) BL RF ASTM A 105 B16.5 PESO 28,80 10""","UNIDAD","","80.91"
"COMPRA","BRIDA SERIE 150 (273,00) BL RF ASTM A 105 B16.5 PESO 28,80 10""","UNIDAD","ADLER STEEL LTD","63.68"
"COMPRA","BRIDA SERIE 150 (273,00) BL RF ASTM A 105 B16.5 PESO 28,80 10""","UNIDAD","FITTINGS HAN'S PIPE","56.31"
"VENTA","BRIDA SERIE 150 (26,70) SO RF ASTM A 105 B16.5 PESO 0,56 3/4""","UNIDAD","","3.06"
"REVENDEDOR","BRIDA SERIE 150 (26,70) SO RF ASTM A 105 B16.5 PESO 0,56 3/4""","UNIDAD","","3.06"
"COMPRA","BRIDA SERIE 150 (26,70) SO RF ASTM A 105 B16.5 PESO 0,56 3/4""","UNIDAD","ADLER STEEL LTD","2.58"
"COMPRA","BRIDA SERIE 150 (26,70) SO RF ASTM A 105 B16.5 PESO 0,56 3/4""","UNIDAD","FITTINGS HAN'S PIPE","1.78"
"VENTA","BRIDA SERIE 150 (26,70) BL RF ASTM A 105 B16.5 PESO 0,61 3/4""","UNIDAD","","2.99"
"REVENDEDOR","BRIDA SERIE 150 (26,70) BL RF ASTM A 105 B16.5 PESO 0,61 3/4""","UNIDAD","","2.99"
"COMPRA","BRIDA SERIE 150 (26,70) BL RF ASTM A 105 B16.5 PESO 0,61 3/4""","UNIDAD","ADLER STEEL LTD","2.58"
"COMPRA","BRIDA SERIE 150 (26,70) BL RF ASTM A 105 B16.5 PESO 0,61 3/4""","UNIDAD","FITTINGS HAN'S PIPE","1.77"
"VENTA","BRIDA SERIE 150 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 18,59 8"" SCH 40","UNIDAD","","54.25"
"REVENDEDOR","BRIDA SERIE 150 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 18,59 8"" SCH 40","UNIDAD","","54.25"
"COMPRA","BRIDA SERIE 150 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 18,59 8"" SCH 40","UNIDAD","ADLER STEEL LTD","44.58"
"COMPRA","BRIDA SERIE 150 (219,10x8,18) WN RF ASTM A 105 B16.5 PESO 18,59 8"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","37.43"
"VENTA","BRIDA SERIE 150 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 17,41 8"" SCH 20","UNIDAD","","74.46"
"REVENDEDOR","BRIDA SERIE 150 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 17,41 8"" SCH 20","UNIDAD","","74.46"
"COMPRA","BRIDA SERIE 150 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 17,41 8"" SCH 20","UNIDAD","ADLER STEEL LTD","42.19"
"COMPRA","BRIDA SERIE 150 (219,10x6,35) WN RF ASTM A 105 B16.5 PESO 17,41 8"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","36.64"
"COMPRA","BRIDA SERIE 150 (219,10x10,31) WN RF ASTM A 105 B16.5 PESO 19,05 8"" SCH 60","UNIDAD","FITTINGS HAN'S PIPE","39.32"
"VENTA","BRIDA SERIE 150 (219,10) SO RF ASTM A 105 B16.5 PESO 12,10 8""","UNIDAD","","35.78"
"REVENDEDOR","BRIDA SERIE 150 (219,10) SO RF ASTM A 105 B16.5 PESO 12,10 8""","UNIDAD","","35.78"
"COMPRA","BRIDA SERIE 150 (219,10) SO RF ASTM A 105 B16.5 PESO 12,10 8""","UNIDAD","ADLER STEEL LTD","29.91"
"COMPRA","BRIDA SERIE 150 (219,10) SO RF ASTM A 105 B16.5 PESO 12,10 8""","UNIDAD","FITTINGS HAN'S PIPE","24.62"
"VENTA","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 19,60 8""","UNIDAD","","54.87"
"REVENDEDOR","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 19,60 8""","UNIDAD","","54.87"
"COMPRA","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 19,60 8""","UNIDAD","ADLER STEEL LTD","42.39"
"COMPRA","BRIDA SERIE 150 (219,10) BL RF ASTM A 105 B16.5 PESO 19,60 8""","UNIDAD","FITTINGS HAN'S PIPE","38.21"
"VENTA","BRIDA SERIE 150 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 11,17 6"" SCH 40","UNIDAD","","33.00"
"REVENDEDOR","BRIDA SERIE 150 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 11,17 6"" SCH 40","UNIDAD","","33.00"
"COMPRA","BRIDA SERIE 150 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 11,17 6"" SCH 40","UNIDAD","ADLER STEEL LTD","27.78"
"COMPRA","BRIDA SERIE 150 (168,30x7,11) WN RF ASTM A 105 B16.5 PESO 11,17 6"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","22.71"
"COMPRA","BRIDA SERIE 150 (168,30x7,11) SW RF ASTM A 105 B16.5 PESO 7,99 6"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","BRIDA SERIE 150 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 12,45 6"" SCH 80","UNIDAD","","50.49"
"REVENDEDOR","BRIDA SERIE 150 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 12,45 6"" SCH 80","UNIDAD","","50.49"
"COMPRA","BRIDA SERIE 150 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 12,45 6"" SCH 80","UNIDAD","ADLER STEEL LTD","29.53"
"COMPRA","BRIDA SERIE 150 (168,30x10,97) WN RF ASTM A 105 B16.5 PESO 12,45 6"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","26.21"
"COMPRA","BRIDA SERIE 150 (168,30x10,97) SW RF ASTM A 105 B16.5 PESO 7,99 6"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","BRIDA SERIE 150 (168,30) SO RF ASTM A 105 B16.5 PESO 7,45 6""","UNIDAD","","21.88"
"REVENDEDOR","BRIDA SERIE 150 (168,30) SO RF ASTM A 105 B16.5 PESO 7,45 6""","UNIDAD","","21.88"
"COMPRA","BRIDA SERIE 150 (168,30) SO RF ASTM A 105 B16.5 PESO 7,45 6""","UNIDAD","ADLER STEEL LTD","18.75"
"COMPRA","BRIDA SERIE 150 (168,30) SO RF ASTM A 105 B16.5 PESO 7,45 6""","UNIDAD","FITTINGS HAN'S PIPE","15.34"
"VENTA","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 11,30 6""","UNIDAD","","31.23"
"REVENDEDOR","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 11,30 6""","UNIDAD","","31.23"
"COMPRA","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 11,30 6""","UNIDAD","ADLER STEEL LTD","24.66"
"COMPRA","BRIDA SERIE 150 (168,30) BL RF ASTM A 105 B16.5 PESO 11,30 6""","UNIDAD","FITTINGS HAN'S PIPE","21.81"
"VENTA","BRIDA SERIE 150 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 7,73 4"" SCH 80","UNIDAD","","22.89"
"REVENDEDOR","BRIDA SERIE 150 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 7,73 4"" SCH 80","UNIDAD","","22.89"
"COMPRA","BRIDA SERIE 150 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 7,73 4"" SCH 80","UNIDAD","ADLER STEEL LTD","18.04"
"COMPRA","BRIDA SERIE 150 (114,30x8,56) WN RF ASTM A 105 B16.5 PESO 7,73 4"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","15.74"
"COMPRA","BRIDA SERIE 150 (114,30x8,56) SW RF ASTM A 105 B16.5 PESO 5,99 4"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","BRIDA SERIE 150 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 7,25 4"" SCH 40","UNIDAD","","21.45"
"REVENDEDOR","BRIDA SERIE 150 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 7,25 4"" SCH 40","UNIDAD","","21.45"
"COMPRA","BRIDA SERIE 150 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 7,25 4"" SCH 40","UNIDAD","ADLER STEEL LTD","17.64"
"COMPRA","BRIDA SERIE 150 (114,30x6,02) WN RF ASTM A 105 B16.5 PESO 7,25 4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","14.75"
"COMPRA","BRIDA SERIE 150 (114,30x6,02) SW RF ASTM A 105 B16.5 PESO 5,99 4"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","BRIDA SERIE 150 (114,30) SO RF ASTM A 105 B16.5 PESO 5,30 4""","UNIDAD","","16.80"
"REVENDEDOR","BRIDA SERIE 150 (114,30) SO RF ASTM A 105 B16.5 PESO 5,30 4""","UNIDAD","","16.80"
"COMPRA","BRIDA SERIE 150 (114,30) SO RF ASTM A 105 B16.5 PESO 5,30 4""","UNIDAD","ADLER STEEL LTD","14.53"
"COMPRA","BRIDA SERIE 150 (114,30) SO RF ASTM A 105 B16.5 PESO 5,30 4""","UNIDAD","FITTINGS HAN'S PIPE","11.56"
