"Lista de precios","Producto","UOM","Proveedor","Precio"
"VENTA","TEE EQUAL (323,80x10,31) ASTM A 234 GB WPB PESO 41,23 12"" SCH 40","UNIDAD","","467.07"
"REVENDEDOR","TEE EQUAL (323,80x10,31) ASTM A 234 GB WPB PESO 41,23 12"" SCH 40","UNIDAD","","467.07"
"VENTA","TEE EQUAL (273,00x9,27) ASTM A 234 GB WPB PESO 37,00 10"" SCH 40","UNIDAD","","269.21"
"REVENDEDOR","TEE EQUAL (273,00x9,27) ASTM A 234 GB WPB PESO 37,00 10"" SCH 40","UNIDAD","","269.21"
"COMPRA","TEE EQUAL (273,00x9,27) ASTM A 234 GB WPB PESO 37,00 10"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (273,00x6,35) ASTM A 234 GB WPB PESO 29,00 10"" SCH 20","UNIDAD","","253.10"
"REVENDEDOR","TEE EQUAL (273,00x6,35) ASTM A 234 GB WPB PESO 29,00 10"" SCH 20","UNIDAD","","253.10"
"COMPRA","TEE EQUAL (273,00x6,35) ASTM A 234 GB WPB PESO 29,00 10"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","109.50"
"VENTA","TEE EQUAL (219,10x8,18) ASTM A 234 GB WPB PESO 23,00 8"" SCH 40","UNIDAD","","156.76"
"REVENDEDOR","TEE EQUAL (219,10x8,18) ASTM A 234 GB WPB PESO 23,00 8"" SCH 40","UNIDAD","","156.76"
"COMPRA","TEE EQUAL (219,10x8,18) ASTM A 234 GB WPB PESO 23,00 8"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","65.70"
"VENTA","TEE EQUAL (219,10x6,35) ASTM A 234 GB WPB PESO 19,00 8"" SCH 20","UNIDAD","","144.16"
"REVENDEDOR","TEE EQUAL (219,10x6,35) ASTM A 234 GB WPB PESO 19,00 8"" SCH 20","UNIDAD","","144.16"
"COMPRA","TEE EQUAL (219,10x6,35) ASTM A 234 GB WPB PESO 19,00 8"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","61.32"
"VENTA","TEE EQUAL (168,30x7,11) ASTM A 234 GB WPB PESO 5,01 6"" SCH 40","UNIDAD","","84.23"
"REVENDEDOR","TEE EQUAL (168,30x7,11) ASTM A 234 GB WPB PESO 5,01 6"" SCH 40","UNIDAD","","84.23"
"COMPRA","TEE EQUAL (168,30x7,11) ASTM A 234 GB WPB PESO 5,01 6"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (114,30x6,02) ASTM A 234 GB WPB PESO 11,30 4"" SCH 40","UNIDAD","","39.26"
"REVENDEDOR","TEE EQUAL (114,30x6,02) ASTM A 234 GB WPB PESO 11,30 4"" SCH 40","UNIDAD","","39.26"
